Category,ASIN,SKU,Product Name,Shipping Template,BB Jan 25,BB Feb 25,BB Mar 25,BB Apr 25,BB May 25,BB Jun 25,BB Jul 25,BB Aug 25,BB Sep 25,BB Oct 25,BB Nov 25,BB Dec 25,BB Jan-Feb 26,Pre-Change Avg BB,Post-Change Avg BB,BB Change,Sessions (Total),Revenue (Total),Orders (Total),Sessions (Jan-Feb 26),Revenue (Jan-Feb 26),Active Months,Wasted Sessions (Latest),Notes,Buy Box,BB Profit if matched,Updated
🔴 QUICK WIN - Lost Buy Box,B00M3IKEQW,HOT04B - 004,Bovril Beef Flavoured Drink 450g Case of 6,One Day,7.4%,91.7%,,16.7%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,3.5%,4.6%,49.5%,7.2%,-42.3%,943,940,12,245,84,4,233,"Had 50% BB, now 5%. 233 wasted sessions. Review pricing urgently.",,,
🔴 QUICK WIN - Zero Buy Box,B01DDG8LDK,CAL04AA,Callebaut W2 Finest Belgian White Chocolate Couverture Callets 28.0% Cocoa 1kg,One Day,16.9%,14.4%,23.2%,11.9%,6.3%,33.8%,12.7%,22.1%,27.4%,32.1%,4.3%,8.0%,4.5%,15.7%,18.2%,2.5%,"14,905",15375,667,"2,304",372,13,"2,201","2,304 sessions with 4% BB = 2,201 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B01DDG8PQI,CAL02 - 010 not prime,Callebaut 811 Finest Belgian Dark Chocolate Couverture Callets 54.5% Cocoa 2.5kg,One Day,14.4%,4.8%,12.0%,0.3%,0.4%,0.1%,0.3%,3.7%,7.4%,2.2%,6.2%,0.2%,0.2%,9.6%,3.3%,-6.3%,"11,630",9250,197,"1,441",0,7,"1,438","1,441 sessions with 0% BB = 1,438 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B01DDG8LRQ,CLA03B - 009 One Day,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 1kg,One Day,8.9%,4.4%,17.1%,0.7%,0.0%,3.3%,5.1%,0.2%,2.0%,0.2%,0.2%,0.2%,0.2%,6.7%,2.9%,-3.8%,"39,233",7511,315,"6,107",24,11,"6,094","6,107 sessions with 0% BB = 6,094 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B00OD06BYM,CAL03 - 013 One Day,Callebaut Finest Belgian Chocolate Select Milk 2.5kg,One Day,,,,,,,6.8%,27.4%,27.0%,11.3%,1.4%,0.4%,0.2%,,12.4%,,"4,673",7179,148,"1,049",40,6,"1,046","1,049 sessions with 0% BB = 1,046 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B01AAABOZE,CAL02A - 009 One Day,Callebaut Select Dark Chocolate Baking Callets 1 kg,One Day,21.6%,24.5%,30.6%,41.5%,2.8%,22.0%,33.3%,3.4%,13.9%,0.3%,4.6%,4.5%,2.7%,23.1%,15.7%,-7.4%,"6,105",4615,195,614,22,13,597,614 sessions with 3% BB = 597 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B01AAABOF4,CAL04A - 007,Callebaut W2 Finest Belgian White Chocolate Couverture Callets 28.0% Cocoa 1kg,One Day,0.3%,0.2%,1.1%,32.8%,11.7%,15.4%,8.1%,36.0%,33.0%,7.0%,1.5%,0.3%,0.1%,0.2%,14.7%,14.4%,"9,292",3509,150,"1,834",0,9,"1,831","1,834 sessions with 0% BB = 1,831 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B07CYZZNDR,CAL04B - 002,Callebaut W2 Finest Belgian White Chocolate Callets 28.0% Cocoa 400g,One Day,7.1%,40.5%,24.6%,29.8%,3.0%,1.3%,1.6%,5.7%,17.7%,0.8%,0.3%,9.5%,4.2%,23.8%,9.4%,-14.4%,"9,879",3253,260,"2,394",315,12,"2,292","2,394 sessions with 4% BB = 2,292 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B000I6PJ0C,HOT07 - 001,Cadbury Instant Hot Chocolate 2 kg (Pack of 1),One Day,11.1%,1.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,6.1%,0.0%,-6.0%,"15,383",3025,93,"2,233",29,8,"2,233","2,233 sessions with 0% BB = 2,233 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B019RDRXJ6,GRA01 - 001,Maggi Original Gravy 1.8kg,One Day,3.2%,17.6%,19.1%,1.3%,0.3%,0.0%,0.3%,1.8%,2.2%,5.5%,18.8%,6.1%,4.6%,10.4%,5.5%,-4.9%,"10,567",2939,172,"1,185",228,9,"1,130","1,185 sessions with 5% BB = 1,130 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B01N9OZZBH,CAL03B - 002,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 1kg,One Day,17.0%,4.0%,12.7%,12.4%,2.8%,5.1%,2.4%,0.0%,0.0%,0.0%,0.5%,0.1%,0.1%,10.5%,3.6%,-6.9%,"8,577",2885,110,"1,049",0,9,"1,048","1,049 sessions with 0% BB = 1,048 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B0CFBDD529,CHO30A - 002 Prime,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Kit Kat 4 Finger 24 x 41.5g Box, (1 Pack))",One Day,11.1%,1.7%,6.1%,29.8%,15.4%,6.8%,0.2%,0.2%,0.2%,1.1%,6.8%,2.3%,0.0%,6.4%,6.9%,0.5%,"14,646",2579,95,538,0,10,538,538 sessions with 0% BB = 538 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B005NN9TCY,GRA04 - 001 Prime,"Bisto The Original Gravy Powder Just Add to Roasting Juices, 3 kg Tub (Pack of 1) - Packaging may vary",One Day,1.1%,0.0%,0.2%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.1%,-0.5%,"24,494",2576,77,"3,688",0,7,"3,688","3,688 sessions with 0% BB = 3,688 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B077B43TXT,JAM03B - 009 Prime,Country Range Assorted Jam Portions - 1x100x20g,One Day,,,,,4.0%,2.2%,7.3%,18.0%,10.9%,1.0%,1.2%,0.8%,2.3%,,5.7%,,"10,442",2462,138,"1,696",204,8,"1,657","1,696 sessions with 2% BB = 1,657 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B0794ZBTZY,CAL01A - 002,Callebaut Dark Chocolate Drops 70% 400g Bag,One Day,5.4%,14.4%,11.6%,19.2%,38.6%,5.0%,2.4%,0.2%,0.4%,0.1%,0.1%,0.8%,0.5%,9.9%,7.8%,-2.1%,"12,769",2393,164,"2,515",28,13,"2,502","2,515 sessions with 0% BB = 2,502 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B0794VMZ8G,CAL02B - 003,"Callebaut Finest Belgian Dark Chocolate, Brown, 400 g",One Day,4.9%,1.9%,10.0%,16.3%,2.1%,0.7%,2.5%,0.6%,0.6%,0.0%,0.0%,3.9%,2.0%,3.4%,3.7%,0.3%,"20,951",2056,152,"5,013",219,12,"4,913","5,013 sessions with 2% BB = 4,913 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B07STF2KM9,CHO28A - 002 Prime,Original SNICKERS Chocolate BAR 24 x 50g Full Box Fresh Stock,One Day,0.0%,0.0%,12.9%,37.9%,17.2%,7.4%,8.1%,6.5%,7.8%,0.3%,0.2%,0.0%,0.0%,0.0%,9.8%,9.8%,"5,779",1731,97,398,0,9,398,398 sessions with 0% BB = 398 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B0793DBLFX,CAL03A - 010 Prime,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 400g,One Day,19.5%,23.0%,21.8%,16.3%,4.7%,4.3%,2.0%,2.2%,1.1%,4.1%,1.1%,9.7%,3.3%,21.3%,6.7%,-14.5%,"7,490",1564,122,"1,319",82,12,"1,275","1,319 sessions with 3% BB = 1,275 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B01DDG8L4Y,CAL02A - 003 One Day,Callebaut Select 811 Dark Chocolate Callets 1 kg,One Day,0.3%,0.2%,0.3%,1.5%,0.0%,0.0%,0.0%,6.7%,7.0%,0.1%,0.3%,0.2%,0.1%,0.2%,1.6%,1.4%,"26,158",1275,53,"5,209",45,10,"5,204","5,209 sessions with 0% BB = 5,204 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B086JQ6VC1,CHU00E - 001 Prime,Geeta's Lime Pickle 1.3kg - Indian Pickle Jar The Real Flavour of India No Artificial Flavours or Colours Ready to Serve Pickles,One Day,18.8%,46.5%,26.1%,2.5%,12.5%,64.9%,6.0%,7.8%,0.0%,0.3%,0.8%,0.0%,0.0%,32.6%,12.1%,-20.5%,"2,714",762,73,373,0,8,373,373 sessions with 0% BB = 373 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B0887GLV5W,GRA19 - 002,"Bisto Flavoursome & Delicious Gluten Free Fine Gravy Granules for Hearty Family Mealtimes, 1.8 kg Tub (Pack of 1)",One Day,11.8%,0.0%,0.9%,2.0%,5.9%,2.7%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.4%,5.9%,1.2%,-4.7%,"12,037",649,30,560,0,5,557,560 sessions with 0% BB = 557 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B00AE1UGTU,COL05 - 009,"Colman's Fresh Garden Mint Sauce, 2.25 Litre",One Day,19.9%,0.0%,2.9%,17.7%,0.0%,0.0%,18.9%,2.7%,0.3%,3.9%,0.0%,0.0%,0.0%,10.0%,4.6%,-5.3%,"3,765",611,28,495,0,7,495,495 sessions with 0% BB = 495 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B0CSKNBFP6,TAYLOR022 - 001 Prime,"Taylors of Harrogate Rich Italian Ground Coffee, 400 g (Pack of 3 - Total 1.2 kg)",One Day,,,,,,,,0.1%,0.0%,0.1%,0.2%,0.0%,0.1%,,0.1%,,"8,150",552,15,"2,053",214,3,"2,051","2,053 sessions with 0% BB = 2,051 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B004QPHXL4,TEA11 - 012,"Yorkshire Tea, One Cup Tea Bags 3 Kg",One Day,13.6%,0.0%,0.5%,2.0%,1.8%,22.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.8%,2.7%,-4.1%,"26,057",529,14,"1,571",0,5,"1,571","1,571 sessions with 0% BB = 1,571 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B0049DMIEA,MONINS32 - 001 Prime,"MONIN Premium Blueberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",One Day,1.1%,0.1%,0.6%,1.4%,3.9%,1.6%,0.0%,4.6%,0.1%,0.1%,0.0%,0.0%,0.0%,0.6%,1.2%,0.7%,"21,102",447,32,"2,217",0,7,"2,217","2,217 sessions with 0% BB = 2,217 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B07Z5B74JY,HOT14M,"Horlicks Original Malted Milk 2kg (Pack of 1) - Just add milk, The Original Malted Drink. High in Calcium, Zinc, Vitamin C, Vitamin D & Vitamin B12.",One Day,0.2%,0.4%,0.0%,,0.6%,0.0%,0.4%,0.0%,0.0%,,0.2%,0.1%,0.1%,0.3%,0.2%,-0.2%,"9,184",443,19,"2,034",25,6,"2,032","2,034 sessions with 0% BB = 2,032 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B077B7FX6C,DAN10B - 001 One Day,Food Connections | Classic Mix Flapjack Bars | 30 x 100g Bars | 6 Delicious Flavours,One Day,0.0%,0.0%,0.3%,0.4%,0.1%,0.0%,0.2%,4.1%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.6%,0.6%,"26,315",408,14,"2,920",0,5,"2,920","2,920 sessions with 0% BB = 2,920 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B005R05XAA,CER21A - 001,Weetabix Original Pack of 96 x 1 Biscuit (18g) – 100 percent Wholegrain & High Fibre – Source of Iron & Vitamin B1 – UK’s No.1 Breakfast Cereal,One Day,0.0%,0.0%,4.0%,9.3%,1.8%,6.8%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%,2.3%,"9,173",396,11,"1,197",0,4,"1,197","1,197 sessions with 0% BB = 1,197 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B094RFF8S4,SPR25B - 001 Prime,Sun-Pat Smooth Peanut Butter 1kg,One Day,7.1%,7.9%,14.5%,2.5%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.5%,1.7%,-5.8%,"2,356",377,26,296,14,9,296,296 sessions with 0% BB = 296 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B0F631N522,FRU44 - 007 Prime,America's Finest | Pack of 3 | Pumpkin Puree - 100% Pure Pumpkin - 425g Tin,One Day,,,,,,0.0%,0.0%,0.5%,0.0%,1.6%,,0.1%,0.5%,,0.4%,,"14,721",308,20,"1,151",116,4,"1,145","1,151 sessions with 1% BB = 1,145 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B004I9IKW4,LAV03 - 007 Prime,"Lavazza, Caffè Decaffeinato, Ground Coffee, 8 Packs of 250 g, Ideal for Moka Pot, Filter Machine and French Press, Aromatic Notes of Dried Fruits, Arabica and Robusta, Intensity 3/10, Medium Roasting",One Day,0.0%,0.1%,0.0%,0.0%,,,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,"22,401",209,3,"3,469",0,1,"3,469","3,469 sessions with 0% BB = 3,469 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B08LVTZNRB,PEP14D - 001 Prime,Old India Black Peppercorns 1kg,One Day,,,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.5%,,"18,296",167,8,"2,416",0,1,"2,416","2,416 sessions with 0% BB = 2,416 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B00E0KTBK6,BUNDLE045 - 001,Monin Caramel Syrup Sugar Free 1Ltr and Pump,One Day,0.4%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,-0.0%,"23,299",163,7,"3,130",0,2,"3,130","3,130 sessions with 0% BB = 3,130 wasted visits. Price check needed.",,,
🔴 QUICK WIN - Zero Buy Box,B0051BU5LC,GRA13 - 001,"Knorr Gluten Free Gravy Granules for Meat Dishes, 25 Litres",One Day,0.0%,0.0%,1.6%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.1%,0.0%,0.4%,0.4%,"15,520",148,6,537,0,3,536,537 sessions with 0% BB = 536 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B00JA8IRY4,PEP14D - 002 Prime,Old India Black Pepper Corns TGEB 1kg,One Day,,,4.0%,3.3%,0.7%,0.3%,0.0%,0.4%,0.5%,0.0%,,1.6%,3.3%,,1.2%,,"2,917",128,6,203,0,2,196,203 sessions with 3% BB = 196 wasted visits. Price check needed.,,,
🔴 QUICK WIN - Zero Buy Box,B0F637HNPQ,FRU44 - 008 Prime,America's Finest | Pack of 12 | Pumpkin Puree - 100% Pure Pumpkin - 425g Tin,One Day,,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,,920,110,3,223,42,2,223,223 sessions with 0% BB = 223 wasted visits. Price check needed.,,,
🟡 WATCH - Buy Box Eroding,B01AC6K9ES,HOT04B - 005,Bovril Beef Flavoured Drink - 3 x 450G,One Day,28.5%,76.8%,,85.7%,0.8%,0.0%,0.0%,0.0%,46.7%,42.5%,32.0%,31.9%,29.0%,52.6%,26.6%,-26.0%,"5,461",8878,212,925,2159,9,656,"BB dropped -26% (was 53%, now 27%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B0C3MHTFHM,CAL09 - 002 One Day,Callebaut Milk Couverture Power 41 Chocolate 2.5kg,One Day,46.4%,62.6%,48.1%,66.2%,51.1%,3.8%,18.8%,1.0%,16.1%,44.8%,62.1%,28.1%,26.2%,54.5%,34.0%,-20.5%,"5,845",7703,129,"1,067",674,13,787,"BB dropped -20% (was 54%, now 34%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B00H7XB0MA,CAL04 - 001,Callebaut W2 Finest Belgian White Chocolate Callets 28.0% Cocoa 2.5kg,One Day,61.5%,77.5%,56.4%,3.5%,0.0%,11.8%,14.3%,40.7%,23.2%,41.0%,92.9%,36.4%,35.1%,69.5%,32.0%,-37.5%,"1,520",4550,99,267,490,10,173,"BB dropped -37% (was 69%, now 32%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B0937G5SSG,TATESY003 - 001,Lyle's Golden Syrup Maple Flavour 2.80kg,One Day,70.3%,86.7%,55.0%,41.9%,44.0%,48.3%,19.8%,22.1%,34.7%,21.4%,53.7%,25.6%,21.4%,78.5%,36.6%,-41.8%,"1,681",2803,169,226,231,13,177,"BB dropped -42% (was 78%, now 37%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B07572KVJT,TATESY003 - 002,"Lyle's Maple Flavour Syrup Poly Container, 2.8 kg, Pack of 4",One Day,52.9%,100.0%,86.4%,11.5%,17.6%,28.6%,25.0%,5.3%,7.1%,12.9%,11.4%,19.7%,16.5%,76.4%,22.6%,-53.9%,688,2500,61,87,73,13,72,"BB dropped -54% (was 76%, now 23%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B071YVM25T,CAL03BM,Callebaut 33.6% Milk Chocolate Chips (callets) - 3 x 1kg Bundle,One Day,88.3%,90.9%,75.9%,52.3%,21.2%,28.8%,2.7%,0.0%,21.4%,11.1%,39.4%,19.3%,10.6%,89.6%,27.2%,-62.4%,703,1940,32,91,57,10,81,"BB dropped -62% (was 90%, now 27%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B00DG23196,TAYLOR011 - 002,"Taylors of Harrogate Afternoon Darjeeling Tea, 20 Tea Bags (Pack of 6, Total 120 Teabags)",One Day,46.0%,78.7%,76.3%,41.2%,35.7%,8.9%,5.6%,17.0%,0.0%,1.4%,26.0%,0.0%,0.0%,62.4%,21.2%,-41.2%,579,1536,67,62,22,12,62,"BB dropped -41% (was 62%, now 21%). Pricing slipping.",,,
🟡 WATCH - Buy Box Eroding,B07N8DFWJZ,RTS16 - 001,Essential Cuisine - The Sauce Collection - Peppercorn Concentrated Sauce Base 800g,One Day,100.0%,92.9%,53.8%,100.0%,72.2%,77.3%,46.2%,35.9%,41.7%,41.4%,12.7%,0.0%,0.0%,96.4%,48.1%,-48.3%,522,1150,34,71,0,10,71,"BB dropped -48% (was 96%, now 48%). Pricing slipping.",,,
🟡 OPPORTUNITY - Improve BB,B01B6G5D58,BUNDLE001 - 002,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",One Day,37.6%,1.0%,4.0%,45.5%,8.3%,0.8%,2.4%,5.1%,18.7%,15.2%,20.0%,46.0%,30.5%,19.3%,16.6%,-2.7%,"15,171",24728,405,"2,000",4385,12,"1,390","Decent traffic (2,000 sessions), BB at 30%. Could convert more with better pricing/dispatch.",,,
🟡 OPPORTUNITY - Improve BB,B07B9KPHXM,CAL001 x 3,"Callebaut 3 x 2.5kg Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",One Day,0.0%,3.4%,25.0%,4.6%,8.3%,9.1%,21.3%,17.3%,3.1%,57.9%,88.9%,47.4%,29.8%,1.7%,28.3%,26.6%,"1,635",13817,120,211,1304,9,148,"Decent traffic (211 sessions), BB at 30%. Could convert more with better pricing/dispatch.",,,
🟡 OPPORTUNITY - Improve BB,B0DVCBHP39,Bundle - 215 Prime,Callebaut Ruby RB2 & Gold Callets Bundle – 2 x 400g | Fruity & Caramel Couverture Chocolate | 32.8% & 30.4%,One Day,64.1%,86.2%,95.3%,94.1%,96.2%,90.8%,93.2%,26.5%,71.7%,20.6%,40.2%,34.8%,34.8%,75.1%,66.3%,-8.8%,"2,485",6599,251,206,304,13,134,"Decent traffic (206 sessions), BB at 35%. Could convert more with better pricing/dispatch.",,,
🟡 OPPORTUNITY - Improve BB,B0DTV3V3TZ,UHT31C - 001 Prime,Jersey Dairy Luxury Chocolate Ice Cream Mix 1L,One Day,,,93.7%,95.1%,9.8%,16.5%,0.3%,,,,,68.3%,34.3%,,47.3%,,"1,563",2019,134,309,124,6,202,"Decent traffic (309 sessions), BB at 34%. Could convert more with better pricing/dispatch.",,,
🟡 OPPORTUNITY - Improve BB,B0FBS8JL1G,PRETZEL002 - 001,Penn State Original Sea Salted Pretzels – 33 x 30g | Baked Wheat Snacks | Vegan & Vegetarian | Individually Wrapped,One Day,,,,,,96.3%,45.2%,31.7%,87.1%,48.0%,8.7%,23.3%,21.6%,,48.6%,,"1,770",1799,51,517,86,8,405,"Decent traffic (517 sessions), BB at 22%. Could convert more with better pricing/dispatch.",,,
🟡 OPPORTUNITY - Improve BB,B095WLCK5T,CAL32A - 002 Prime,Callebaut | Gold | 30.4% Finest Belgian Caramel Chocolate Couverture (Callets) | 400g,One Day,22.6%,29.1%,28.6%,60.8%,26.6%,1.3%,0.0%,52.4%,26.4%,6.8%,6.8%,34.2%,34.2%,25.8%,24.4%,-1.4%,"2,145",1426,86,365,331,11,240,"Decent traffic (365 sessions), BB at 34%. Could convert more with better pricing/dispatch.",,,
🟢 PROTECT - Strong Performer,B0BGPMD867,OIL02H - 001 Prime,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,One Day,,,,,,,92.8%,72.5%,63.9%,76.7%,87.0%,73.6%,76.5%,,77.8%,,"23,727",114133,"3,126","6,723",25690,7,"1,579","BB 76%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B09T3GDNGT,HON27C - 002 Prime,Rowse Runny Honey 3.17kg,One Day,93.8%,92.0%,100.0%,90.0%,97.5%,96.6%,94.9%,98.9%,95.2%,99.1%,97.8%,87.1%,79.1%,92.9%,95.7%,2.8%,"4,144",38900,"1,470",587,4407,13,122,"BB 79%, converting well. Protect pricing position.",,,
